"id";"order_id/id";"product_id/id";"product_uom_qty";"price_unit"
"228";"__import__odoo_insider__.ORD-1114";"__import__odoo_insider__.product_17_variant";"2";"230.845"
"403";"__import__odoo_insider__.ORD-1192";"__import__odoo_insider__.product_19_variant";"4";"251.615"
"678";"__import__odoo_insider__.ORD-1141";"__import__odoo_insider__.product_14_variant";"4";"433.9175"
"210";"__import__odoo_insider__.ORD-1013";"__import__odoo_insider__.product_9_variant";"2";"390.61"
"781";"__import__odoo_insider__.ORD-1034";"__import__odoo_insider__.product_1_variant";"2";"359.225"
"281";"__import__odoo_insider__.ORD-1117";"__import__odoo_insider__.product_12_variant";"6";"198.11"
"797";"__import__odoo_insider__.ORD-1141";"__import__odoo_insider__.product_20_variant";"3";"417.2166666666667"
"579";"__import__odoo_insider__.ORD-1040";"__import__odoo_insider__.product_12_variant";"1";"279.78"
"556";"__import__odoo_insider__.ORD-1009";"__import__odoo_insider__.product_6_variant";"5";"441.552"
"1457";"__import__odoo_insider__.ORD-1051";"__import__odoo_insider__.product_12_variant";"8";"252.95875"
"1069";"__import__odoo_insider__.ORD-1134";"__import__odoo_insider__.product_18_variant";"9";"125.51444444444445"
"517";"__import__odoo_insider__.ORD-1004";"__import__odoo_insider__.product_10_variant";"9";"51.607777777777784"
"500";"__import__odoo_insider__.ORD-1013";"__import__odoo_insider__.product_12_variant";"4";"477.7775"
"898";"__import__odoo_insider__.ORD-1089";"__import__odoo_insider__.product_18_variant";"3";"471.51666666666665"
"624";"__import__odoo_insider__.ORD-1000";"__import__odoo_insider__.product_8_variant";"3";"136.04666666666665"
"1084";"__import__odoo_insider__.ORD-1014";"__import__odoo_insider__.product_8_variant";"7";"328.35714285714283"
"812";"__import__odoo_insider__.ORD-1022";"__import__odoo_insider__.product_20_variant";"4";"99.4025"
"316";"__import__odoo_insider__.ORD-1116";"__import__odoo_insider__.product_11_variant";"4";"117.2075"
"1367";"__import__odoo_insider__.ORD-1134";"__import__odoo_insider__.product_19_variant";"6";"328.84499999999997"
"1162";"__import__odoo_insider__.ORD-1198";"__import__odoo_insider__.product_2_variant";"10";"148.605"
"1150";"__import__odoo_insider__.ORD-1022";"__import__odoo_insider__.product_20_variant";"9";"163.92"
"1225";"__import__odoo_insider__.ORD-1000";"__import__odoo_insider__.product_6_variant";"5";"178.94"
"31";"__import__odoo_insider__.ORD-1073";"__import__odoo_insider__.product_8_variant";"7";"183.9"
"217";"__import__odoo_insider__.ORD-1008";"__import__odoo_insider__.product_20_variant";"10";"327.696"
"506";"__import__odoo_insider__.ORD-1013";"__import__odoo_insider__.product_8_variant";"6";"61.370000000000005"
"987";"__import__odoo_insider__.ORD-1120";"__import__odoo_insider__.product_19_variant";"5";"55.976"
"1071";"__import__odoo_insider__.ORD-1167";"__import__odoo_insider__.product_14_variant";"9";"224.47555555555556"
"952";"__import__odoo_insider__.ORD-1192";"__import__odoo_insider__.product_16_variant";"4";"333.3225"
"816";"__import__odoo_insider__.ORD-1120";"__import__odoo_insider__.product_12_variant";"8";"357.24375"
"550";"__import__odoo_insider__.ORD-1090";"__import__odoo_insider__.product_15_variant";"8";"38.90375"
"171";"__import__odoo_insider__.ORD-1011";"__import__odoo_insider__.product_17_variant";"9";"261.9844444444445"
"73";"__import__odoo_insider__.ORD-1015";"__import__odoo_insider__.product_20_variant";"2";"237.94"
"928";"__import__odoo_insider__.ORD-1185";"__import__odoo_insider__.product_17_variant";"9";"418.56444444444446"
"775";"__import__odoo_insider__.ORD-1013";"__import__odoo_insider__.product_1_variant";"4";"393.19"
